"","SiteID","Longitude","Latitude"
"1",1001,300674,7091166
"2",1003,350204,7089854
"3",102,289419,6639974
"4",103,394365,6770300
"5",104,394350,6770380
"6",110,459417,6695689
"7",1101,385361,7215060
"8",1102,385453,7215066
"9",1105,613380,7363357
"10",1106,613428,7363124
"11",1107,375963,7132348
"12",1110,425557,7188390
"13",1114,452694,7186859
"14",1115,409077,7172704
"15",114,279120,6663222
"16",1202,663788,7129339
"17",1204,627225,7189716
"18",1206,546098,7119686
"19",1209,536542,7119176
"20",1210,537817,7122672
"21",1212,661733,7091430
"22",1214,532256,7142381
"23",1259,559447,7118001
"24",1262,550369,7171546
"25",1304,504314,7562582
"26",1306,545863,7631277
"27",1308,253806,7671141
"28",1310,383976,7311784
"29",1312,360613,7466011
"30",1316,363106,7590699
"31",1317,363796,7474269
"32",1318,522360,7616567
"33",155,298050,6649625
"34",165,362982,6689788
"35",169,298016,6649689
"36",201,103960,6703919
"37",204,231792,6709660
"38",206,221166,6688743
"39",210,204901,6844161
"40",303,309216,6876228
"41",306,326109,6817464
"42",309,362363,6767964
"43",310,429908,6776666
"44",312,316317,6817535
"45",402,483190,6748564
"46",403,484578,6716296
"47",412,539814,6716182
"48",506,511847,6837886
"49",508,472943,6819854
"50",512,505623,6836136
"51",601,516548,7001730
"52",603,502820,6945516
"53",609,529316,6970538
"54",701,644793,6939850
"55",702,645133,6939817
"56",703,702666,6966308
"57",705,673970,6904841
"58",706,674126,6905611
"59",707,639560,6986486
"60",708,639658,6986412
"61",710,673059,6974560
"62",802,232387,7004074
"63",803,271071,6986790
"64",811,248486,6900542
"65",903,466463,6942929
"66",908,432807,6865880
"67",909,440713,6896028
"68",910,447640,6911043
"69",170,400784.945963971,6764584.91272532
"70",507,472515.857835466,6819538.11709714
"71",1113,607592.668476171,7357684.01073693
"72",112,379837.756904827,6679087.19939813
"73",115,466231.927786846,6695857.8518805
"74",116,305333.863330664,6646564.92118878
"75",158,269712.223473283,6637294.4742908
"76",161,323449.350970927,6695392.38130883
"77",168,398324.235752831,6697846.74083528
"78",171,389226.031965523,6668299.58154245
"79",172,386525.110389303,6669954.9031691
"80",173,398231.25887797,6700952.49136168
"81",174,392142.851776021,6669824.98174792
"82",175,386796.738603476,6726983.97084329
"83",211,238501.753822773,6639152.57551428
"84",212,238535.739886638,6639210.55238949
"85",216,205998.056777358,6800958.43985738
"86",217,291115.998204212,6771605.60599766
"87",220,237525.14253272,6639892.2735877
"88",221,237738.059299978,6639421.46376331
"89",222,249029.301552485,6685549.98708016
"90",223,306068.333410819,6696096.01753965
"91",224,233776.853350737,6812087.09251998
"92",225,234522.01629988,6709524.28848014
"93",315,312345.088117167,6860050.15914771
"94",316,417749.13319497,6762413.86042884
"95",318,367960.158922612,6761282.09593145
"96",319,379451.532606933,6762674.5868711
"97",415,550867.713805906,6729252.79065306
"98",455,491797.550730728,6715636.00872075
"99",611,534942.060043773,6992244.87018535
"100",711,636062.506695306,6950500.05156218
"101",712,636853.333887902,6912256.45663142
"102",713,670583.832301093,6890451.37064224
"103",1009,303932.615060042,7083772.24378314
"104",1116,444988.465767823,7225101.89761167
"105",1117,473167.268209988,7181292.60277093
"106",1270,616682.270758006,7262927.18484454
"107",1271,625758.081481584,7113098.53863186
"108",1280,532838.432954308,7128357.09031007
"109",1320,380485.184649381,7298226.31275773
